action=Wait | obs=CrowdObs(1, 2, 1) | reward=9.0
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=8.5
action=Wait | obs=CrowdObs(1, 1, 1) | reward=4.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(1, 2, 1) | reward=8.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=8.5
action=Yield | obs=CrowdObs(1, 2, 2) | reward=5.5
action=Yield | obs=CrowdObs(1, 2, 1) | reward=12.5
action=Overtake | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=5.0
action=Wait | obs=CrowdObs(1, 2, 1) | reward=7.0
action=Overtake | obs=CrowdObs(2, 1, 1) | reward=4.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=11.0
action=Wait | obs=CrowdObs(1, 2, 2) | reward=7.0
action=Wait | obs=CrowdObs(2, 1, 2) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(2, 2, 1) | reward=11.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Overtake | obs=CrowdObs(1, 2, 2) | reward=8.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=5.5
action=FindGap | obs=CrowdObs(2, 2, 1) | reward=6.5
action=Yield | obs=CrowdObs(2, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(2, 2, 2) | reward=8.5
action=Wait | obs=CrowdObs(1, 2, 1) | reward=7.5
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=-1.5
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=11.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=4.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=8.5
action=Overtake | obs=CrowdObs(2, 2, 2) | reward=8.5
action=Wait | obs=CrowdObs(2, 2, 1) | reward=15.0
action=Wait | obs=CrowdObs(1, 1, 1) | reward=8.0
action=Overtake | obs=CrowdObs(1, 1, 2) | reward=9.0
action=Yield | obs=CrowdObs(1, 2, 2) | reward=10.0
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=11.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=18.0
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=11.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=17.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=4.5
action=Yield | obs=CrowdObs(2, 2, 1) | reward=9.5
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(2, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(1, 2, 2) | reward=5.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=12.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Overtake | obs=CrowdObs(1, 1, 2) | reward=9.0
action=Wait | obs=CrowdObs(2, 1, 1) | reward=6.0
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=9.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=18.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=9.0
action=Overtake | obs=CrowdObs(1, 2, 2) | reward=9.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=13.0
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=5.0
action=Yield | obs=CrowdObs(2, 2, 2) | reward=18.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=10.0
action=Wait | obs=CrowdObs(2, 1, 1) | reward=5.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=9.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=9.0
action=FindGap | obs=CrowdObs(2, 1, 2) | reward=11.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=6.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=9.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=9.0
action=Wait | obs=CrowdObs(2, 2, 1) | reward=7.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=11.0
action=Yield | obs=CrowdObs(2, 2, 2) | reward=8.5
action=Wait | obs=CrowdObs(2, 1, 2) | reward=7.5
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=4.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=5.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=9.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=10.0
action=Wait | obs=CrowdObs(2, 1, 1) | reward=5.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=4.5
action=Yield | obs=CrowdObs(1, 2, 2) | reward=9.5
action=Yield | obs=CrowdObs(2, 2, 1) | reward=12.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=8.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=6.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=8.5
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=11.0
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=6.5
action=Yield | obs=CrowdObs(1, 2, 1) | reward=17.5
action=Yield | obs=CrowdObs(1, 1, 2) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=13.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=6.5
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=13.5
action=Wait | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(2, 2, 2) | reward=8.5
action=Wait | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=13.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.5
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=6.5
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=8.5
action=Overtake | obs=CrowdObs(2, 1, 1) | reward=3.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Wait | obs=CrowdObs(2, 2, 1) | reward=6.5
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=6.5
action=Yield | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Wait | obs=CrowdObs(2, 1, 2) | reward=6.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=Wait | obs=CrowdObs(2, 1, 1) | reward=7.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Overtake | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=14.0
action=Yield | obs=CrowdObs(2, 2, 2) | reward=13.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=18.0
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=14.0
action=Wait | obs=CrowdObs(2, 1, 1) | reward=15.0
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=5.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=9.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=Overtake | obs=CrowdObs(1, 1, 1) | reward=-1.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FindGap | obs=CrowdObs(2, 2, 1) | reward=9.0
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(1, 2, 2) | reward=8.5
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=Overtake | obs=CrowdObs(2, 2, 2) | reward=8.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=18.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=4.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=Overtake | obs=CrowdObs(1, 1, 1) | reward=8.5
action=Wait | obs=CrowdObs(1, 2, 2) | reward=4.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=13.5
action=Overtake | obs=CrowdObs(1, 1, 1) | reward=3.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=Overtake | obs=CrowdObs(1, 1, 2) | reward=9.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=5.0
action=Yield | obs=CrowdObs(1, 2, 2) | reward=13.0
action=Wait | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=14.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=9.0
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=11.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=5.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Wait | obs=CrowdObs(1, 2, 2) | reward=7.0
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=8.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(1, 2, 2) | reward=6.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=6.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=5.0
action=Yield | obs=CrowdObs(2, 1, 2) | reward=10.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=Wait | obs=CrowdObs(1, 2, 2) | reward=7.0
action=FindGap | obs=CrowdObs(1, 2, 2) | reward=11.0
action=Yield | obs=CrowdObs(2, 2, 2) | reward=9.5
action=Yield | obs=CrowdObs(2, 2, 2) | reward=17.5
action=Yield | obs=CrowdObs(1, 2, 1) | reward=17.5
action=Wait | obs=CrowdObs(2, 2, 1) | reward=8.5
action=Wait | obs=CrowdObs(1, 1, 2) | reward=7.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
action=Yield | obs=CrowdObs(2, 2, 2) | reward=5.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=17.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=8.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=4.0
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 2, 2) | reward=11.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=11.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=17.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Overtake | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=Yield | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=4.5
action=FindGap | obs=CrowdObs(2, 1, 2) | reward=8.5
action=Yield | obs=CrowdObs(1, 1, 2) | reward=9.5
action=Overtake | obs=CrowdObs(2, 1, 2) | reward=3.5
action=Wait | obs=CrowdObs(2, 1, 1) | reward=7.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=-10.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=13.0
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=9.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=9.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=9.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=6.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=14.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=18.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=9.0
action=Overtake | obs=CrowdObs(2, 2, 2) | reward=9.0
action=Wait | obs=CrowdObs(1, 1, 1) | reward=15.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=11.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=11.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=Yield | obs=CrowdObs(2, 2, 2) | reward=8.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=17.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=4.5
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=6.5
action=Wait | obs=CrowdObs(1, 1, 1) | reward=7.5
action=FindGap | obs=CrowdObs(2, 1, 2) | reward=6.5
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=Yield | obs=CrowdObs(2, 2, 2) | reward=5.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.5
action=Yield | obs=CrowdObs(2, 2, 1) | reward=5.5
action=Yield | obs=CrowdObs(2, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=6.5
action=FindGap | obs=CrowdObs(2, 2, 2) | reward=6.5
action=Yield | obs=CrowdObs(1, 1, 2) | reward=17.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.5
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=6.5
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=-1.5
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=11.0
action=FindGap | obs=CrowdObs(1, 2, 2) | reward=8.5
action=Yield | obs=CrowdObs(2, 2, 1) | reward=12.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=13.5
action=Yield | obs=CrowdObs(2, 1, 2) | reward=17.5
action=Wait | obs=CrowdObs(1, 2, 1) | reward=6.5
action=Wait | obs=CrowdObs(2, 2, 1) | reward=6.5
action=Wait | obs=CrowdObs(1, 2, 2) | reward=6.5
action=Yield | obs=CrowdObs(2, 1, 2) | reward=12.5
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=6.5
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=8.5
action=FindGap | obs=CrowdObs(2, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=13.5
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=8.5
action=FindGap | obs=CrowdObs(2, 1, 2) | reward=6.5
action=Yield | obs=CrowdObs(1, 1, 2) | reward=9.5
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=9.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=Overtake | obs=CrowdObs(2, 1, 2) | reward=8.5
action=Yield | obs=CrowdObs(1, 1, 2) | reward=10.0
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=14.0
action=Overtake | obs=CrowdObs(1, 1, 1) | reward=4.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=Overtake | obs=CrowdObs(1, 2, 2) | reward=9.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=13.0
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=14.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=9.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 2) | reward=11.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=10.0
action=Wait | obs=CrowdObs(2, 1, 1) | reward=8.0
action=Yield | obs=CrowdObs(1, 2, 2) | reward=6.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=6.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=6.0
action=Overtake | obs=CrowdObs(1, 1, 1) | reward=9.0
action=Overtake | obs=CrowdObs(1, 2, 2) | reward=9.0
action=Wait | obs=CrowdObs(2, 2, 1) | reward=9.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=Overtake | obs=CrowdObs(1, 1, 1) | reward=4.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=14.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=10.0
action=FollowFlow | obs=CrowdObs(2, 2, 2) | reward=14.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=5.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=Yield | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=11.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=9.0
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=FindGap | obs=CrowdObs(2, 1, 2) | reward=11.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=Overtake | obs=CrowdObs(2, 1, 1) | reward=8.5
action=Wait | obs=CrowdObs(2, 1, 1) | reward=5.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=14.0
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=14.0
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=9.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=9.0
action=Yield | obs=CrowdObs(2, 2, 1) | reward=18.0
action=Yield | obs=CrowdObs(1, 1, 2) | reward=9.0
action=Wait | obs=CrowdObs(1, 2, 2) | reward=4.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=11.0
action=Yield | obs=CrowdObs(2, 1, 2) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=14.0
action=Wait | obs=CrowdObs(2, 2, 1) | reward=8.0
action=Wait | obs=CrowdObs(1, 2, 1) | reward=8.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=14.0
action=Wait | obs=CrowdObs(1, 1, 2) | reward=9.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=10.0
action=FollowFlow | obs=CrowdObs(1, 2, 2) | reward=5.0
action=Yield | obs=CrowdObs(1, 2, 1) | reward=13.0
action=Yield | obs=CrowdObs(2, 1, 1) | reward=6.0
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=14.0
action=FindGap | obs=CrowdObs(1, 1, 1) | reward=9.0
action=FollowFlow | obs=CrowdObs(2, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 1, 2) | reward=13.5
action=FindGap | obs=CrowdObs(2, 2, 1) | reward=6.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FindGap | obs=CrowdObs(2, 2, 1) | reward=6.5
action=Wait | obs=CrowdObs(2, 1, 1) | reward=7.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(1, 2, 1) | reward=13.5
action=FollowFlow | obs=CrowdObs(2, 2, 1) | reward=4.5
action=Yield | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Yield | obs=CrowdObs(1, 1, 1) | reward=8.5
action=FindGap | obs=CrowdObs(2, 2, 1) | reward=6.5
action=Yield | obs=CrowdObs(2, 1, 1) | reward=8.5
action=FollowFlow | obs=CrowdObs(1, 1, 1) | reward=13.5
action=Overtake | obs=CrowdObs(1, 2, 1) | reward=8.5
action=Overtake | obs=CrowdObs(2, 2, 1) | reward=9.0
action=FindGap | obs=CrowdObs(1, 2, 1) | reward=11.0
action=FindGap | obs=CrowdObs(2, 1, 2) | reward=11.0
action=FollowFlow | obs=CrowdObs(2, 1, 2) | reward=13.5
